_id,OBJECTID,Animal_Lab_ID,Event,Date,SpeciesNameEng,RegionEng,Species,SettlementEng,LocationNotSettlementEng,Year,Month
1,711,A00508487,30.0,2024-05-26,Dog,Galil Golan,,Tuba-Zangariyye,,2024,5
2,710,A00507442,29.0,2024-05-12,Dog,Amakim,,,,2024,5
3,709,A00506588,28.0,2024-04-30,Cattle,Galil Golan,VII B,Dalton,,2024,4
4,706,A00506410,25.0,2024-04-29,Sheep,Amakim,VII A,Menahemya,,2024,4
5,707,A00506411,26.0,2024-04-29,Sheep,Amakim,VII A,Menahemya,,2024,4
6,708,A00506412,27.0,2024-04-29,Cattle,Amakim,VII A,,,2024,4
7,705,A00506277,24.0,2024-04-23,Dog,Amakim,VII A,Ramat Zevi,,2024,4
8,704,A00505100,25.0,2024-04-15,Jackal,Galil Golan,,Bar'Am,,2024,4
9,701,A00505665,21.0,2024-04-10,Badger,Galil Golan,,She'Ar Yashuv,,2024,4
10,702,A00505664,22.0,2024-04-10,Dog,Galil Golan,,Metula,,2024,4
11,700,A00505238,23.0,2024-04-03,Sheep,Amakim,,,,2024,4
12,699,A00505100,20.0,2024-04-02,Jackal,Galil Golan,,,,2024,4
13,690,A00502544,11.0,2024-03-27,Jackal,Galil Golan,,En Ziwan,,2024,3
14,689,A00502434,10.0,2024-03-25,Jackal,Amakim,IV,,,2024,3
15,688,A00502429,9.0,2024-03-25,Fox,Galil Maaravi,VII A,Bezet,,2024,3
16,698,A00504114,19.0,2024-03-18,Dog,Galil Maaravi,VII A,,,2024,3
17,697,A00503375,18.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024,3
18,696,A00503354,17.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024,3
19,695,A00503357,16.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024,3
20,694,A00503314,15.0,2024-03-09,Dog,Amakim,VII A,Perazon,,2024,3
21,693,A00503143,14.0,2024-03-06,Cattle,Galil Golan,VII B,Ortal,,2024,3
22,691,A00502841,12.0,2024-03-03,Dog,Amakim,VII A,,,2024,3
23,692,A00502655,13.0,2024-02-28,Dog,Galil Maaravi,VII A,,,2024,2
24,687,A00502339,8.0,2024-02-24,Jackal,Galil Golan,VII B,Majdal Shams,,2024,2
25,686,A00501565,7.0,2024-02-13,Jackal,Galil Golan,VII A,,,2024,2
26,683,00501183A,6.0,2024-02-06,Jackal,Amakim,VII A,Sede Eliyyahu,,2024,2
27,682,A00500778,5.0,2024-01-30,Jackal,Amakim,VII A,Ramat Zevi,,2024,1
28,681,A00500197,4.0,2024-01-20,Jackal,Amakim,VII A,Moledet,,2024,1
29,680,A00500008,3.0,2024-01-16,Jackal,Galil Maaravi,VII A,Shelomi,,2024,1
30,679,A00499713,2.0,2024-01-08,Jackal,Amakim,VII A,Bet She'An,,2024,1
31,678,A00499356,1.0,2024-01-03,Jackal,Galil Golan,VII A,Afiqim,,2024,1
32,675,A00498702,45.0,2023-12-23,,Galil Maaravi,,Shetula,,2023,12
33,673,00497991A,43.0,2023-12-11,Jackal,Amakim,VII A,En Harod(Me'Uhad),,2023,12
34,674,A00497993,44.0,2023-12-11,Jackal,Galil Maaravi,VII A,Akko,,2023,12
35,670,A00497727,42.0,2023-12-07,Jackal,Galil Golan,VII A,Dolev,,2023,12
36,677,A00497555,41.0,2023-12-04,Jackal,Amakim,VII A,Sheluhot,,2023,12
37,669,A00497413,40.0,2023-12-02,Jackal,Amakim,VII A,Ma'Oz Hayyim,,2023,12
38,667,A00497081,38.0,2023-11-27,Jackal,Amakim,VII A,Hefzi-Bah,,2023,11
39,668,A00497082,39.0,2023-11-26,Jackal,Galil Golan,VII A,Dalton,,2023,11
40,666,A00496668,37.0,2023-11-19,Jackal,Amakim,VII A,Gid'Ona,,2023,11
41,664,00495371A,36.0,2023-10-28,Jackal,Amakim,VII A,,,2023,10
42,661,A00493609,35.0,2023-09-26,Jackal,Amakim,VII A,Gazit,,2023,9
43,660,A00491546,34.0,2023-08-26,Wolf,Negev,I,Ne'Ot Hakikkar,,2023,8
44,659,00490459A,33.0,2023-08-12,Wolf,Amakim,VII A,Bet Hashitta,,2023,8
45,658,A00490378,32.0,2023-08-09,Dog,Galil Golan,VII B,Yuval,,2023,8
46,656,A00490238,31.0,2023-08-08,Jackal,Amakim,VII A,Bet Alfa,,2023,8
47,655,A00487995,30.0,2023-07-12,Jackal,Amakim,VII A,,,2023,7
48,653,A00487603,28.0,2023-07-09,Badger,Amakim,VII A,Daverat,,2023,7
49,654,A00487219,29.0,2023-07-03,Jackal,Amakim,VII A,Moledet,,2023,7
50,651,A00486719,27.0,2023-06-27,Dog,Amakim,VII A,Rosh Pinna,,2023,6
51,650,00486719A,26.0,2023-06-26,Jackal,Amakim,VII A,,,2023,6
52,649,00484818A,25.0,2023-06-06,Jackal,Amakim,VII A,,,2023,6
53,648,A00484691,24.0,2023-06-05,Dog,Amakim,VII A,Merhavya(Moshav),,2023,6
54,647,00484141A,23.0,2023-05-29,Jackal,Amakim,VII A,,,2023,5
55,646,A00481897,22.0,2023-05-07,Jackal,Amakim,VII A,Tel Yosef,,2023,5
56,645,A00481640,21.0,2023-05-03,Dog,Galil Golan,VII B,Metula,,2023,5
57,644,A00480805,20.0,2023-04-26,Cattle,Amakim,VII A,Nurit,,2023,4
58,643,A00480716,19.0,2023-04-24,Jackal,Amakim,VII A,Merhavya(Moshav),,2023,4
59,642,A00480488,18.0,2023-04-22,Jackal,Amakim,VII A,,,2023,4
60,641,A00479639,17.0,2023-04-12,Cattle,Galil Golan,,Bet Zera,,2023,4
61,640,A00478996,16.0,2023-03-27,Cattle,Galil Golan,VII A,Bet Zera,,2023,3
62,639,A00478988,15.0,2023-03-27,Jackal,Amakim,VII A,Mesillot,,2023,3
63,638,A00478291,14.0,2023-03-19,Dog,Galil Golan,V II A,Habonim,,2023,3
64,636,A00477317,13.0,2023-03-06,Jackal,Galil Golan,VII A,Yavne'El,,2023,3
65,635,A00475631,12.0,2023-02-13,Cattle,Galil Golan,VII B,,,2023,2
66,634,A00475410,11.0,2023-02-12,Jackal,Galil Golan,VII A,Margaliyyot,,2023,2
67,633,A00474815,10.0,2023-02-04,Dog,Amakim,VII A,Bet She'An,,2023,2
68,632,A00474753,9.0,2023-02-04,Jackal,Galil Golan,VII B,,,2023,2
69,630,A00474034,7.0,2023-01-23,Jackal,Amakim,VII A,Gesher,,2023,1
70,631,A00474056,8.0,2023-01-23,Cattle,Galil Golan,VII A,,,2023,1
71,629,A00473685,6.0,2023-01-18,Dog,Galil Golan,VII A,Tuba-Zangariyye,,2023,1
72,628,A00473352,5.0,2023-01-15,Jackal,Galil Maaravi,VII A,Mattat,,2023,1
73,627,A00473272,4.0,2023-01-14,Jackal,Amakim,VII A,,,2023,1
74,626,A00473269,3.0,2023-01-14,Jackal,Galil Golan,VII A,,snir,2023,1
75,625,A00473022,2.0,2023-01-09,Jackal,Galil Maaravi,VII A,Even Menahem,,2023,1
76,624,A00472630,1.0,2023-01-03,Jackal,Galil Golan,VII B,Agur,,2023,1
77,623,A00470814,29.0,2022-12-10,Jackal,Amakim,VIIA,Hefzi-Bah,,2022,12
78,622,A00470338,28.0,2022-12-03,Jackal,Amakim,VIIA,Reshafim,,2022,12
79,621,A00469667,27.0,2022-11-26,Jackal,Galil Golan,VIIA,,,2022,11
80,620,A00469324,26.0,2022-11-22,Jackal,Amakim,VIIA,Mele'A,,2022,11
81,619,A00468702,25.0,2022-11-14,Jackal,Amakim,VIIA,Hamadya,,2022,11
82,618,A00467847,24.0,2022-11-05,Jackal,Galil Golan,VIIA,Gesher,,2022,11
83,617,A00467842,23.0,2022-11-05,Jackal,Galil Golan,VIIB,Margaliyyot,,2022,11
84,616,A00466698,22.0,2022-10-23,Jackal,Amakim,VIIA,En Hanaziv,,2022,10
85,615,A00465451,21.0,2022-09-28,Jackal,Amakim,VIIA,En Hanaziv,,2022,9
86,614,A00465445,20.0,2022-09-28,Dog,Galil Maaravi,VIIA,Even Menahem,,2022,9
87,613,A00464997,19.0,2022-09-20,Jackal,Amakim,VIIA,Hamadya,,2022,9
88,610,A00463575,18.0,2022-09-04,Jackal,Galil Golan,VIIA,Yir'On,,2022,9
89,609,A00463220,17.0,2022-08-30,Dog,Galil Golan,VIIA,Yir'On,,2022,8
90,608,A00462804,16.0,2022-08-27,Dog,Galil Maaravi,VIIA,Hurfeish,,2022,8
91,611,A00462600,15.0,2022-08-22,Jackal,Amakim,VIIA,Hamadya,,2022,8
92,606,A00462513,14.0,2022-08-21,Cattle,Galil Golan,I,Buq'Ata,,2022,8
93,605,A00461809,13.0,2022-08-14,Jackal,Galil Golan,VIIA,Gid'Ona,,2022,8
94,603,A00450285,12.0,2022-04-23,Cattle,Galil Maaravi,VIIA,Fassuta,,2022,4
95,602,A00448589,11.0,2022-04-03,Dog,Galil Golan,VIIA,Yesud Hama'Ala,,2022,4
96,601,A00447740,10.0,2022-03-27,Cat,Galil Golan,VIIA,Kefar Hoshen,,2022,3
97,600,A00447437,9.0,2022-03-23,Jackal,Galil Golan,VIIA,Yiftah,,2022,3
98,599,A00444740,8.0,2022-02-28,Cattle,Galil Golan,VIIA,Tuba-Zangariyye,,2022,2
99,598,A00444336,7.0,2022-02-26,Jackal,Galil Maaravi,VIIA,Abbirim,,2022,2
100,597,A00441802,6.0,2022-02-03,Jackal,Galil Golan,VIIA,Sede Eli'Ezer,,2022,2
101,596,A00441674,5.0,2022-01-30,Dog,Galil Maaravi,VIIA,Hazor Hagelilit,,2022,1
102,594,A00440469,4.0,2022-01-18,Jackal,Galil Golan,VIIA,Ayyelet Hashahar,,2022,1
103,593,A00439981,3.0,2022-01-12,Jackal,Galil Golan,VIIA,Kefar Gil'Adi,,2022,1
104,592,A00439738,2.0,2022-01-10,Dog,Galil Golan,VIIA,Kefar Rozenwald(Zarit),,2022,1
105,591,A00439275,1.0,2022-01-08,Jackal,Galil Golan,VIIA,Ayyelet Hashahar,,2022,1
106,589,A00438815,40.0,2021-12-29,Jackal,Galil Golan,VIIA,Dafna,,2021,12
107,588,A00438706,39.0,2021-12-28,Dog,Galil Golan,VIIA,Shetula,,2021,12
108,586,A00438394,38.0,2021-12-26,Dog,Galil Maaravi,VIIA,Aramsha,,2021,12
109,585,A00438141,37.0,2021-12-22,Cow,Galil Golan,VIIA,Ortal,,2021,12
110,584,A00437402,36.0,2021-12-15,Wolf,Galil Golan,VIIA,Ayyelet Hashahar,,2021,12
111,580,A00435307,35.0,2021-11-24,Jackal,Galil Golan,VIIA,Yir'On,,2021,11
112,579,​A00434107,34.0,2021-11-14,Jackal,Galil Maaravi,VII A,Elon,,2021,11
113,578,A00431667,33.0,2021-10-25,Jackal,Galil Golan,VIIA,Misgav Am,,2021,10
114,576,A00431573,32.0,2021-10-24,Dog,Amakim,VIIA,Sede Eliyyahu,,2021,10
115,575,​A00430991,31.0,2021-10-18,Jackal,Galil Maaravi,VII A,Shomera,,2021,10
116,574,A00426045,30.0,2021-08-22,Dog,Galil Golan,VIIA,Shezor,,2021,8
117,571,A00422687,29.0,2021-07-18,Jackal,Galil Maaravi,VIIA,Shomera,,2021,7
118,570,A00421253,28.0,2021-07-04,Jackal,Galil Maaravi,VIIA,Bezet,,2021,7
119,569,A00419315,27.0,2021-06-14,Cattle,Galil Maaravi,VII A,Rame,,2021,6
120,567,A00418538,26.0,2021-06-07,Cattle,Galil Maaravi,VIIA,Ya'Ara,,2021,6
121,566,A00418104,25.0,2021-06-02,Cattle,Galil Golan,VIIA,Manot,,2021,6
122,565,A00417770,24.0,2021-05-31,Cattle,Galil Maaravi,VIIA,Goren,,2021,5
123,564,A00415978,23.0,2021-05-17,Dog,Galil Golan,VIIA,Beit Jann,,2021,5
124,563,A00415734,22.0,2021-05-12,Badger,Galil Golan,VIIA,Ma'Yan Barukh,,2021,5
125,561,A00412397,21.0,2021-04-18,Dog,Galil Golan,VIIA,Beit Jann,,2021,4
126,559,A00411798,20.0,2021-04-11,Dog,Galil Maaravi,VIIA,Rame,,2021,4
127,555,​A00411251,19.0,2021-04-06,Dog,Galil Golan,VIIA,Beit Jann,,2021,4
128,557,A00410874,18.0,2021-04-04,Dog,Galil Golan,VIIA,Had-Nes,,2021,4
129,556,A00410873,17.0,2021-04-04,Sheep,Galil Golan,VIIA,Had-Nes,,2021,4
130,551,​A00410869,16.0,2021-04-04,Sheep,Galil Golan,VIIA,Had-Nes,,2021,4
131,553,A00410650,15.0,2021-04-03,Dog,Galil Golan,VIIA,Beit Jann,,2021,4
132,548,​A00410624,14.0,2021-04-03,Dog,Galil Golan,VIIA,Beit Jann,,2021,4
133,547,A00409776,13.0,2021-03-20,Dog,Galil Golan,VIIA,Had-Nes,,2021,3
134,546,A00409776,12.0,2021-03-20,Dog,Galil Maaravi,VIIA,Peqi'In Hadasha,,2021,3
135,544,A00407231,11.0,2021-02-28,Dog,Galil Maaravi,VIIA,Peqi'In Hadasha,,2021,2
136,542,A00407171,10.0,2021-02-25,Dog,Galil Maaravi,VIIA,Ya'Ara,,2021,2
137,541,A00406867,9.0,2021-02-23,Dog,Galil Golan,VIIA,Menara,,2021,2
138,540,A00406543,8.0,2021-02-21,Dog,Negev,VII A,En Tamar,,2021,2
139,536,A00405019,7.0,2021-02-07,Jackal,Galil Golan,VIIA,Yuval,,2021,2
140,535,A00404412,6.0,2021-02-01,Dog,Galil Golan,VIIA,Dovev,,2021,2
141,534,A00403086,5.0,2021-01-20,Dog,Negev,,Qetura,,2021,1
142,533,A00402646,3.0,2021-01-19,Jackal,Galil Golan,VIIA,Kerem Ben Zimra,,2021,1
143,532,​A00402403,4.0,2021-01-19,Dog,Galil Golan,VIIA,Karkom,,2021,1
144,531,A00402255,2.0,2021-01-13,Dog,Galil Golan,VII A,Yiftah,,2021,1
145,530,​A00400941,1.0,2021-01-04,Jackal,Galil Golan,VIIA,She'Ar Yashuv,,2021,1
146,529,​A00400597,47.0,2020-12-29,Jackal,Galil Golan,VII A,Margaliyyot,,2020,12
147,528,A00400595,46.0,2020-12-29,Cattle,Galil Maaravi,VIIA,Fassuta,,2020,12
148,527,A00400482,45.0,2020-12-28,Jackal,Galil Golan,VIIA,Reihaniyye,,2020,12
149,523,​A00399246,44.0,2020-12-14,Cattle,Galil Golan,VII A,Dalton,,2020,12
150,522,A00398853,43.0,2020-12-12,Dog,Galil Golan,VIIA,Shetula,,2020,12
151,521,A00397345,42.0,2020-11-25,Wolf,Galil Golan,VIIA,Had-Nes,,2020,11
152,520,A00397078,41.0,2020-11-22,Jackal,Galil Golan,VIIA,Shetula,,2020,11
153,519,​A00397019,40.0,2020-11-22,Jackal,Galil Golan,VII A,Yesud Hama'Ala,,2020,11
154,518,A00396685,39.0,2020-11-18,Jackal,Galil Golan,VIIA,Dishon,,2020,11
155,517,A00396484,38.0,2020-11-16,Jackal,Galil Golan,VIIA,Dovev,,2020,11
156,516,A00396328,37.0,2020-11-15,Jackal,Galil Golan,VIIA,Metula,,2020,11
157,514,A00396321,36.0,2020-11-15,Jackal,Galil Golan,VIIA,Lahavot Habashan,,2020,11
158,513,A00396354,35.0,2020-11-15,Jackal,Galil Golan,VIIA,Hagosherim,,2020,11
159,512,A00395831,34.0,2020-11-09,Wolf,Galil Golan,VIIA,Yesud Hama'Ala,,2020,11
160,509,A00395816,33.0,2020-11-09,Dog,Galil Golan,VIIA,Metula,,2020,11
161,508,​A00394493,32.0,2020-10-27,Jackal,Galil Golan,VII A,Margaliyyot,,2020,10
162,507,A00394275,31.0,2020-10-25,Jackal,Galil Golan,VIIA,Bar'Am,,2020,10
163,506,A0034090,30.0,2020-10-21,Jackal,Galil Golan,VII A,Sede Nehemya,,2020,10
164,505,​A00393324,29.0,2020-10-18,Jackal,Galil Golan,VII A,Yir'On,,2020,10
165,504,A00393026,28.0,2020-10-13,Jackal,Galil Golan,VIIA,Dan,,2020,10
166,501,A00392860,27.0,2020-10-12,Dog,Galil Golan,VIIA,Mattat,,2020,10
167,498,A00392398,26.0,2020-10-10,Jackal,Galil Golan,VIIA,Dafna,,2020,10
168,502,A00392382,25.0,2020-10-10,Jackal,Galil Golan,VIIA,Dan,,2020,10
169,497,​A00392285,24.0,2020-10-07,Jackal,Galil Maaravi,VII A,Elon,,2020,10
170,496,A00391976,23.0,2020-09-29,Dog,Galil Golan,VIIA,Misgav Am,,2020,9
171,495,A00391787,22.0,2020-09-28,Jackal,Galil Golan,VIIA,Netu'A,,2020,9
172,493,A00387719,21.0,2020-08-09,Dog,Galil Golan,VIIA,Sasa,,2020,8
173,492,A00385763,20.0,2020-07-15,Jackal,Galil Maaravi,VIIA,Liman,,2020,7
174,491,A00384848,19.0,2020-07-06,Jackal,Galil Golan,VIIA,Ne'Ot Mordekhay,,2020,7
175,488,​A00381599,18.0,2020-06-02,Cattle,Galil Maaravi,VII A,Fassuta,,2020,6
176,487,A00380490,17.0,2020-05-18,Cattle,Galil Golan,VII A,Kefar Szold,,2020,5
177,486,A00379939,16.0,2020-05-12,Dog,Galil Golan,VII A,Bar'Am,,2020,5
178,490,A00379317,15.0,2020-05-06,Dog,Galil Maaravi,VII,Sa'Ar,,2020,5
179,485,A00378866,14.0,2020-05-04,Jackal,Galil Golan,VII A,Yir'On,,2020,5
180,483,A00378364,13.0,2020-04-26,Dog,Galil Maaravi,VII A,Fassuta,,2020,4
181,482,A00377910,12.0,2020-04-20,Dog,Galil Maaravi,VII A,Peqi'In (Buqei'A),,2020,4
182,481,A00377285,11.0,2020-04-04,Dog,Galil Golan,VII A,Ghajar,,2020,4
183,480,A00376690,10.0,2020-03-25,Cattle,Galil Golan,VIIA,Alma,,2020,3
184,479,A00375047​,9.0,2020-03-04,Dog,Galil Golan,VII A,Shamir,,2020,3
185,478,A00374371​​​​​​,8.0,2020-02-25,Dog,Galil Maaravi,VII A,Fassuta,,2020,2
186,477,A00374265,7.0,2020-02-24,Dog,Galil Golan,VII A,Alma,,2020,2
187,573,A00373420,6.0,2020-02-18,Dog,Galil Golan,VIIA,Ramot Naftali,,2020,2
188,476,​A00373369​,5.0,2020-02-15,Cattle,Galil Golan,VII A,Senir,,2020,2
189,475,A00372352,4.0,2020-02-04,Dog,Galil Golan,VII A,Bet Hillel,,2020,2
190,474,A00370589,2.0,2020-01-18,Jackal,Galil Golan,VII A,Yiftah,,2020,1
191,473,A00369624,1.0,2020-01-07,Jackal,Galil Golan,VII A,Dishon,,2020,1
192,472,A00368842,17.0,2019-12-25,Jackal,Galil Golan,VII A,Hazor Hagelilit,,2019,12
193,471,A00367891,16.0,2019-12-15,Jackal,Galil Golan,VII A,Margaliyyot,,2019,12
194,470,A00366736,15.0,2019-11-27,Jackal,Galil Golan,VII A,Dan,,2019,11
195,469,A00364579​,14.0,2019-11-02,Dog,Galil Golan,I,Majdal Shams,,2019,11
196,468,A00363355,13.0,2019-10-22,Dog,Galil Golan,VII A,Misgav Am,,2019,10
197,467,​A00362990,12.0,2019-10-15,Jackal,Galil Golan,VII A,Hagosherim,,2019,10
198,466,A00362801,11.0,2019-10-09,Jackal,Galil Golan,VII A,Qiryat Shemona,,2019,10
199,465,A00358971,10.0,2019-08-20,Dog,Galil Golan,VII A,Qiryat Shemona,,2019,8
200,464,A00357826,9.0,2019-08-06,Dog,Galil Golan,VII A,Yuval,,2019,8
201,462,A00355389,8.0,2019-07-10,Dog,Amakim,VII A,Tur'An,,2019,7
202,461,A00347252,7.0,2019-04-03,Dog,Galil Golan,VII B,Kafar Kama,,2019,4
203,463,A00344755,6.0,2019-03-06,Jackal,Amakim,VII B,Newe Etan,,2019,3
204,460,A00343532,5.0,2019-02-24,Dog,Amakim,VII A,Gan Ner,,2019,2
205,458,A00339385,3.0,2019-01-13,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2019,1
206,459,A00339387,4.0,2019-01-13,Jackal,Galil Golan,VII A,Yiftah,,2019,1
207,457,A00339149,2.0,2019-01-12,Dog,Hasharon,VII B,Isifya,,2019,1
208,456,A00339080,1.0,2019-01-09,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2019,1
209,455,A00336706,60.0,2018-12-11,Jackal,Galil Golan,VII A,Dan,,2018,12
210,453,A00333805,59.0,2018-11-05,Jackal,Galil Golan,VII A,Dan,,2018,11
211,451,A00330739,57.0,2018-10-02,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018,10
212,452,A00330566,56.0,2018-09-26,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018,9
213,450,A00327125,55.0,2018-08-07,Jackal,Galil Golan,VII B,Tel Qazir,,2018,8
214,449,A00325845,54.0,2018-07-22,Dog,Galil Golan,VII A,Gonen,,2018,7
215,448,A00324471,53.0,2018-07-04,Jackal,Amakim,VII B,Ma'Oz Hayyim,,2018,7
216,447,​​A00322936,52.0,2018-06-14,Jackal,Galil Golan,VII A,Dovev,,2018,6
217,33,A00322149,51.0,2018-06-04,Jackal,Galil Golan,VII B,Mevo Hamma,,2018,6
218,22,A00320347,50.0,2018-05-12,Cattle,Hasharon,VII B,Basma,,2018,5
219,20,A00320155,48.0,2018-05-08,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2018,5
220,21,A00320156,49.0,2018-05-08,Dog,Galil Golan,VII A,Dovev,,2018,5
221,19,A00319720,47.0,2018-05-02,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2018,5
222,18,A00319738,46.0,2018-05-02,Horse,Hasharon,VII B,Basma,,2018,5
223,17,A00319596,45.0,2018-05-01,Jackal,Amakim,VII B,Nahalal,,2018,5
224,16,A00318829,44.0,2018-04-23,Sheep,Galil Golan,VII A,Ghajar,,2018,4
225,454,A00317604,43.0,2018-04-08,Badger,Galil Golan,VII A,Yesud Hama'Ala,,2018,4
226,15,A00317549,42.0,2018-04-04,Jackal,Galil Golan,VII A,Yuval,,2018,4
227,14,A00317493,41.0,2018-03-29,Dog,Hasharon,VII B,Isifya,,2018,3
228,30,A00317097,40.0,2018-03-24,Jackal,Amakim,VII B,Yardena,,2018,3
229,31,A00316971,39.0,2018-03-21,Jackal,Amakim,VII B,Kefar Yehoshua,,2018,3
