_id,OBJECTID,Animal_Lab_ID,Event,Date,SpeciesNameEng,RegionEng,Species,SettlementEng,LocationNotSettlementEng,Year
1,710,A00507442,29.0,2024-05-12,Dog,Amakim,,,,2024
2,709,A00506588,28.0,2024-04-30,Cattle,Galil Golan,VII B,Dalton,,2024
3,706,A00506410,25.0,2024-04-29,Sheep,Amakim,VII A,Menahemya,,2024
4,707,A00506411,26.0,2024-04-29,Sheep,Amakim,VII A,Menahemya,,2024
5,708,A00506412,27.0,2024-04-29,Cattle,Amakim,VII A,,,2024
6,705,A00506277,24.0,2024-04-23,Dog,Amakim,VII A,Ramat Zevi,,2024
7,704,A00505100,25.0,2024-04-15,Jackal,Galil Golan,,Bar'Am,,2024
8,701,A00505665,21.0,2024-04-10,Badger,Galil Golan,,She'Ar Yashuv,,2024
9,702,A00505664,22.0,2024-04-10,Dog,Galil Golan,,Metula,,2024
10,700,A00505238,23.0,2024-04-03,Sheep,Amakim,,,,2024
11,699,A00505100,20.0,2024-04-02,Jackal,Galil Golan,,,,2024
12,690,A00502544,11.0,2024-03-27,Jackal,Galil Golan,,En Ziwan,,2024
13,689,A00502434,10.0,2024-03-25,Jackal,Amakim,IV,,,2024
14,688,A00502429,9.0,2024-03-25,Fox,Galil Maaravi,VII A,Bezet,,2024
15,698,A00504114,19.0,2024-03-18,Dog,Galil Maaravi,VII A,,,2024
16,697,A00503375,18.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024
17,696,A00503354,17.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024
18,695,A00503357,16.0,2024-03-10,Cattle,Galil Golan,VII B,Ortal,,2024
19,694,A00503314,15.0,2024-03-09,Dog,Amakim,VII A,Perazon,,2024
20,693,A00503143,14.0,2024-03-06,Cattle,Galil Golan,VII B,Ortal,,2024
21,691,A00502841,12.0,2024-03-03,Dog,Amakim,VII A,,,2024
22,692,A00502655,13.0,2024-02-28,Dog,Galil Maaravi,VII A,,,2024
23,687,A00502339,8.0,2024-02-24,Jackal,Galil Golan,VII B,Majdal Shams,,2024
24,686,A00501565,7.0,2024-02-13,Jackal,Galil Golan,VII A,,,2024
25,683,00501183A,6.0,2024-02-06,Jackal,Amakim,VII A,Sede Eliyyahu,,2024
26,682,A00500778,5.0,2024-01-30,Jackal,Amakim,VII A,Ramat Zevi,,2024
27,681,A00500197,4.0,2024-01-20,Jackal,Amakim,VII A,Moledet,,2024
28,680,A00500008,3.0,2024-01-16,Jackal,Galil Maaravi,VII A,Shelomi,,2024
29,679,A00499713,2.0,2024-01-08,Jackal,Amakim,VII A,Bet She'An,,2024
30,678,A00499356,1.0,2024-01-03,Jackal,Galil Golan,VII A,Afiqim,,2024
31,675,A00498702,45.0,2023-12-23,,Galil Maaravi,,Shetula,,2023
32,673,00497991A,43.0,2023-12-11,Jackal,Amakim,VII A,En Harod(Me'Uhad),,2023
33,674,A00497993,44.0,2023-12-11,Jackal,Galil Maaravi,VII A,Akko,,2023
34,670,A00497727,42.0,2023-12-07,Jackal,Galil Golan,VII A,Dolev,,2023
35,677,A00497555,41.0,2023-12-04,Jackal,Amakim,VII A,Sheluhot,,2023
36,669,A00497413,40.0,2023-12-02,Jackal,Amakim,VII A,Ma'Oz Hayyim,,2023
37,667,A00497081,38.0,2023-11-27,Jackal,Amakim,VII A,Hefzi-Bah,,2023
38,668,A00497082,39.0,2023-11-26,Jackal,Galil Golan,VII A,Dalton,,2023
39,666,A00496668,37.0,2023-11-19,Jackal,Amakim,VII A,Gid'Ona,,2023
40,664,00495371A,36.0,2023-10-28,Jackal,Amakim,VII A,,,2023
41,661,A00493609,35.0,2023-09-26,Jackal,Amakim,VII A,Gazit,,2023
42,660,A00491546,34.0,2023-08-26,Wolf,Negev,I,Ne'Ot Hakikkar,,2023
43,659,00490459A,33.0,2023-08-12,Wolf,Amakim,VII A,Bet Hashitta,,2023
44,658,A00490378,32.0,2023-08-09,Dog,Galil Golan,VII B,Yuval,,2023
45,656,A00490238,31.0,2023-08-08,Jackal,Amakim,VII A,Bet Alfa,,2023
46,655,A00487995,30.0,2023-07-12,Jackal,Amakim,VII A,,,2023
47,653,A00487603,28.0,2023-07-09,Badger,Amakim,VII A,Daverat,,2023
48,654,A00487219,29.0,2023-07-03,Jackal,Amakim,VII A,Moledet,,2023
49,651,A00486719,27.0,2023-06-27,Dog,Amakim,VII A,Rosh Pinna,,2023
50,650,00486719A,26.0,2023-06-26,Jackal,Amakim,VII A,,,2023
51,649,00484818A,25.0,2023-06-06,Jackal,Amakim,VII A,,,2023
52,648,A00484691,24.0,2023-06-05,Dog,Amakim,VII A,Merhavya(Moshav),,2023
53,647,00484141A,23.0,2023-05-29,Jackal,Amakim,VII A,,,2023
54,646,A00481897,22.0,2023-05-07,Jackal,Amakim,VII A,Tel Yosef,,2023
55,645,A00481640,21.0,2023-05-03,Dog,Galil Golan,VII B,Metula,,2023
56,644,A00480805,20.0,2023-04-26,Cattle,Amakim,VII A,Nurit,,2023
57,643,A00480716,19.0,2023-04-24,Jackal,Amakim,VII A,Merhavya(Moshav),,2023
58,642,A00480488,18.0,2023-04-22,Jackal,Amakim,VII A,,,2023
59,641,A00479639,17.0,2023-04-12,Cattle,Galil Golan,,Bet Zera,,2023
60,640,A00478996,16.0,2023-03-27,Cattle,Galil Golan,VII A,Bet Zera,,2023
61,639,A00478988,15.0,2023-03-27,Jackal,Amakim,VII A,Mesillot,,2023
